,Home Team,Away Team,Home Score,Away Score
0,TVN,Asker,0.0,0.0
1,Førde,Asker,0.0,0.0
2,Asker,Førde,0.0,0.0
3,TVN,Førde,0.0,0.0
4,Koll,Asker,0.0,0.0
5,Asker,Koll,0.0,0.0
6,Koll,Førde,0.0,0.0
7,Førde,Koll,0.0,0.0
8,TVN,Koll,0.0,0.0
9,NTNUI,Asker,0.0,0.0
10,Asker,NTNUI,0.0,0.0
11,NTNUI,Førde,0.0,0.0
12,Førde,NTNUI,0.0,0.0
13,NTNUI,Koll,0.0,0.0
14,Koll,NTNUI,0.0,0.0
15,TVN,NTNUI,0.0,0.0
16,OSI,Asker,0.0,0.0
17,Asker,OSI,0.0,0.0
18,OSI,Førde,0.0,0.0
19,Førde,OSI,0.0,0.0
20,OSI,Koll,0.0,0.0
21,Koll,OSI,0.0,0.0
22,OSI,NTNUI,0.0,0.0
23,NTNUI,OSI,0.0,0.0
24,TVN,OSI,0.0,0.0
25,Randaberg,Asker,0.0,0.0
26,Asker,Randaberg,0.0,0.0
27,Randaberg,Førde,0.0,0.0
28,Førde,Randaberg,0.0,0.0
29,Randaberg,Koll,0.0,0.0
30,Koll,Randaberg,0.0,0.0
31,Randaberg,NTNUI,0.0,0.0
32,NTNUI,Randaberg,0.0,0.0
33,Randaberg,OSI,0.0,0.0
34,OSI,Randaberg,0.0,0.0
35,TVN,Randaberg,0.0,0.0
36,Tromsø,Asker,0.0,0.0
37,Asker,Tromsø,0.0,0.0
38,Tromsø,Førde,0.0,0.0
39,Førde,Tromsø,0.0,0.0
40,Tromsø,Koll,0.0,0.0
41,Koll,Tromsø,0.0,0.0
42,Tromsø,NTNUI,0.0,0.0
43,NTNUI,Tromsø,0.0,0.0
44,Tromsø,OSI,0.0,0.0
45,OSI,Tromsø,0.0,0.0
46,Tromsø,Randaberg,0.0,0.0
47,Randaberg,Tromsø,0.0,0.0
48,TVN,Tromsø,0.0,0.0
49,Viking,Asker,0.0,0.0
50,Asker,Viking,0.0,0.0
51,Viking,Førde,0.0,0.0
52,Førde,Viking,0.0,0.0
53,Viking,Koll,0.0,0.0
54,Koll,Viking,0.0,0.0
55,Viking,NTNUI,0.0,0.0
56,NTNUI,Viking,0.0,0.0
57,Viking,OSI,0.0,0.0
58,OSI,Viking,0.0,0.0
59,Viking,Randaberg,0.0,0.0
60,Randaberg,Viking,0.0,0.0
61,Viking,Tromsø,0.0,0.0
62,Tromsø,Viking,0.0,0.0
63,TVN,Viking,0.0,0.0
